epoch 0
epoch 0: 0
epoch 0: 1
epoch 0: 2
epoch 0: 3
epoch 0: 4
epoch 0: 5
epoch 0: 6
epoch 0: 7
epoch 0: 8
epoch 0: 9
epoch 0: 10
epoch 0: 11
epoch 0: 12
epoch 0: 13
epoch 0: 14
epoch 0: 15
epoch 0: 16
[1] loss: 3.465
epoch 1
epoch 1: 0
epoch 1: 1
epoch 1: 2
epoch 1: 3
epoch 1: 4
epoch 1: 5
epoch 1: 6
epoch 1: 7
epoch 1: 8
epoch 1: 9
epoch 1: 10
epoch 1: 11
epoch 1: 12
epoch 1: 13
epoch 1: 14
epoch 1: 15
epoch 1: 16
[2] loss: 2.766
epoch 2
epoch 2: 0
epoch 2: 1
epoch 2: 2
epoch 2: 3
epoch 2: 4
epoch 2: 5
epoch 2: 6
epoch 2: 7
epoch 2: 8
epoch 2: 9
epoch 2: 10
epoch 2: 11
epoch 2: 12
epoch 2: 13
epoch 2: 14
epoch 2: 15
epoch 2: 16
[3] loss: 1.911
epoch 3
epoch 3: 0
epoch 3: 1
epoch 3: 2
epoch 3: 3
epoch 3: 4
epoch 3: 5
epoch 3: 6
epoch 3: 7
epoch 3: 8
epoch 3: 9
epoch 3: 10
epoch 3: 11
epoch 3: 12
epoch 3: 13
epoch 3: 14
epoch 3: 15
epoch 3: 16
[4] loss: 1.083
epoch 4
epoch 4: 0
epoch 4: 1
epoch 4: 2
epoch 4: 3
epoch 4: 4
epoch 4: 5
epoch 4: 6
epoch 4: 7
epoch 4: 8
epoch 4: 9
epoch 4: 10
epoch 4: 11
epoch 4: 12
epoch 4: 13
epoch 4: 14
epoch 4: 15
epoch 4: 16
[5] loss: 0.601
epoch 5
epoch 5: 0
epoch 5: 1
epoch 5: 2
epoch 5: 3
epoch 5: 4
epoch 5: 5
epoch 5: 6
epoch 5: 7
epoch 5: 8
epoch 5: 9
epoch 5: 10
epoch 5: 11
epoch 5: 12
epoch 5: 13
epoch 5: 14
epoch 5: 15
epoch 5: 16
[6] loss: 0.319
epoch 6
epoch 6: 0
epoch 6: 1
epoch 6: 2
epoch 6: 3
epoch 6: 4
epoch 6: 5
epoch 6: 6
epoch 6: 7
epoch 6: 8
epoch 6: 9
epoch 6: 10
epoch 6: 11
epoch 6: 12
epoch 6: 13
epoch 6: 14
epoch 6: 15
epoch 6: 16
[7] loss: 0.186
epoch 7
epoch 7: 0
epoch 7: 1
epoch 7: 2
epoch 7: 3
epoch 7: 4
epoch 7: 5
epoch 7: 6
epoch 7: 7
epoch 7: 8
epoch 7: 9
epoch 7: 10
epoch 7: 11
epoch 7: 12
epoch 7: 13
epoch 7: 14
epoch 7: 15
epoch 7: 16
[8] loss: 0.124
epoch 8
epoch 8: 0
epoch 8: 1
epoch 8: 2
epoch 8: 3
epoch 8: 4
epoch 8: 5
epoch 8: 6
epoch 8: 7
epoch 8: 8
epoch 8: 9
epoch 8: 10
epoch 8: 11
epoch 8: 12
epoch 8: 13
epoch 8: 14
epoch 8: 15
epoch 8: 16
[9] loss: 0.084
epoch 9
epoch 9: 0
epoch 9: 1
epoch 9: 2
epoch 9: 3
epoch 9: 4
epoch 9: 5
epoch 9: 6
epoch 9: 7
epoch 9: 8
epoch 9: 9
epoch 9: 10
epoch 9: 11
epoch 9: 12
epoch 9: 13
epoch 9: 14
epoch 9: 15
epoch 9: 16
[10] loss: 0.049
epoch 10
epoch 10: 0
epoch 10: 1
epoch 10: 2
epoch 10: 3
epoch 10: 4
epoch 10: 5
epoch 10: 6
epoch 10: 7
epoch 10: 8
epoch 10: 9
epoch 10: 10
epoch 10: 11
epoch 10: 12
epoch 10: 13
epoch 10: 14
epoch 10: 15
epoch 10: 16
[11] loss: 0.045
epoch 11
epoch 11: 0
epoch 11: 1
epoch 11: 2
epoch 11: 3
epoch 11: 4
epoch 11: 5
epoch 11: 6
epoch 11: 7
epoch 11: 8
epoch 11: 9
epoch 11: 10
epoch 11: 11
epoch 11: 12
epoch 11: 13
epoch 11: 14
epoch 11: 15
epoch 11: 16
[12] loss: 0.034
epoch 12
epoch 12: 0
epoch 12: 1
epoch 12: 2
epoch 12: 3
epoch 12: 4
epoch 12: 5
epoch 12: 6
epoch 12: 7
epoch 12: 8
epoch 12: 9
epoch 12: 10
epoch 12: 11
epoch 12: 12
epoch 12: 13
epoch 12: 14
epoch 12: 15
epoch 12: 16
[13] loss: 0.026
epoch 13
epoch 13: 0
epoch 13: 1
epoch 13: 2
epoch 13: 3
epoch 13: 4
epoch 13: 5
epoch 13: 6
epoch 13: 7
epoch 13: 8
epoch 13: 9
epoch 13: 10
epoch 13: 11
epoch 13: 12
epoch 13: 13
epoch 13: 14
epoch 13: 15
epoch 13: 16
[14] loss: 0.025
epoch 14
epoch 14: 0
epoch 14: 1
epoch 14: 2
epoch 14: 3
epoch 14: 4
epoch 14: 5
epoch 14: 6
epoch 14: 7
epoch 14: 8
epoch 14: 9
epoch 14: 10
epoch 14: 11
epoch 14: 12
epoch 14: 13
epoch 14: 14
epoch 14: 15
epoch 14: 16
[15] loss: 0.024
epoch 15
epoch 15: 0
epoch 15: 1
epoch 15: 2
epoch 15: 3
epoch 15: 4
epoch 15: 5
epoch 15: 6
epoch 15: 7
epoch 15: 8
epoch 15: 9
epoch 15: 10
epoch 15: 11
epoch 15: 12
epoch 15: 13
epoch 15: 14
epoch 15: 15
epoch 15: 16
[16] loss: 0.023
epoch 16
epoch 16: 0
epoch 16: 1
epoch 16: 2
epoch 16: 3
epoch 16: 4
epoch 16: 5
epoch 16: 6
epoch 16: 7
epoch 16: 8
epoch 16: 9
epoch 16: 10
epoch 16: 11
epoch 16: 12
epoch 16: 13
epoch 16: 14
epoch 16: 15
epoch 16: 16
[17] loss: 0.018
epoch 17
epoch 17: 0
epoch 17: 1
epoch 17: 2
epoch 17: 3
epoch 17: 4
epoch 17: 5
epoch 17: 6
epoch 17: 7
epoch 17: 8
epoch 17: 9
epoch 17: 10
epoch 17: 11
epoch 17: 12
epoch 17: 13
epoch 17: 14
epoch 17: 15
epoch 17: 16
[18] loss: 0.017
epoch 18
epoch 18: 0
epoch 18: 1
epoch 18: 2
epoch 18: 3
epoch 18: 4
epoch 18: 5
epoch 18: 6
epoch 18: 7
epoch 18: 8
epoch 18: 9
epoch 18: 10
epoch 18: 11
epoch 18: 12
epoch 18: 13
epoch 18: 14
epoch 18: 15
epoch 18: 16
[19] loss: 0.013
epoch 19
epoch 19: 0
epoch 19: 1
epoch 19: 2
epoch 19: 3
epoch 19: 4
epoch 19: 5
epoch 19: 6
epoch 19: 7
epoch 19: 8
epoch 19: 9
epoch 19: 10
epoch 19: 11
epoch 19: 12
epoch 19: 13
epoch 19: 14
epoch 19: 15
epoch 19: 16
[20] loss: 0.020
Finished Training
