Name,Tag,LatLong,Heading,Pitch,FOV,Notes
Astronomy and Astrophysics,AS_5297,"43.660662910799545, -79.39705958857661",600,60,75,
Enrolment Services,EN_9322,"43.66915946524127, -79.40042021038249",985,15,100,
"Alumni Hall, Muzzo Family",AL_3674,"43.66512233766281, -79.39033529842814",510,15,100,
Annesley Hall,AN_3202,"43.66745613454703, -79.39260181496883",0,0,90,
Anthropology Building,AN_5551,"43.66012331029625, -79.39866400542944",515,15,100,
Bahen Ctr. for Info. Technology,BA_3348,"43.65969838179555, -79.3966606383466",975,18,100,
Birge-Carnegie Library,BI_7767,"43.66736883185287, -79.39296891851588",885,15,100,
Bancroft Building,BA_9287,"43.660894983608344, -79.39900324497546",975,18,150,
Banting Institute,BA_6047,"43.69955754618951, -79.39146431749204",1063,18,100,
Claude T. Bissell Building,CL_5517,"43.666474610976955, -79.40026694907898",100,20,90,
Clara Benson Building,CL_3054,"43.66300815551329, -79.39986372110738",1695,15,100,
Brennan Hall,BR_8326,N/A,,,,Away from Streetview
St. Basil’s Church,ST_9228,"43.666226490175276, -79.3887170932552",950,20,105,
Isabel Bader Theatre,IS_3233,"43.667456396770454, -79.39260488309942",150,10,100,
Burwash Hall,BU_4412,"43.66693829936682, -79.39081407850348",250,20,115,
Campus Co-op Day Care,CA_2012,"43.664593021716264, -79.40049435920788",250,15,105,
Best Institute,BE_2528,N/A,,,,Demolished
Centre of Engineering Innovation & Entrepreneurship,CE_9284,"43.6608527490078, -79.39711544033865",815,60,75,
Canadiana Gallery,CA_9242,"43.66164828979248, -79.39296032165564",1065,18,150,
Convocation Hall,CO_2967,"43.660776717962456, -79.39486872078511",255,15,95,
Student Commons,ST_6209,"43.6583549687543, -79.39784205248341",1065,15,95,
89 Chestnut Residence,89_2185,"43.65450763412509, -79.38571892386074",475,25,145,
162 St. George St.,16_9276,N/A,,,,
Carr Hall,CA_2969,"43.66510086726838, -79.39007072011545",1030,15,145,
School of Continuing Studies,SC_4103,"43.66717356460377, -79.39969303731245",950,10,145,
